formation,location,name,periode,startDate
"Bac+3, ENSA Kénitra",  Salé,Stagiaire en Informatique &amp; Systèmes d'Information ,4 mois,01/02/2023
"Bac+3, Autre",  Rabat,Stagiaire en Supply Chain ,,01/02/2023
"Bac+3, Autre",  Tanger,Stagiaire en Economie et gestion ,2 mois,29/12/2022
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Gestion des Entreprises et des Administrations ,4 mois,01/02/2023
"Bac+2, ISTA ",  Casablanca,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",4 mois,31/12/2022
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Développement informatique ,6 mois,01/03/2023
"Bac+3, FSJES Mohammedi…",  Deroua,Stagiaire en Développement informatique ,5 mois,01/03/2023
"Bac+3, FSJES Agadir",  Casablanca,Stagiaire en Economie et gestion ,2 mois,02/01/2023
"Bac+3, FSJES Settat",  Berrchid,Stagiaire en Gestion des Entreprises et des Administrations ,6 mois,01/01/2023
"Bac+5, Autre",  Casablanca,Stagiaire en Commerce &amp; Management ,6 mois,29/12/2022
"Bac+3, Université Ibn …",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,3 mois,28/12/2022
"Bac+2, Autre",  Meknès,Stagiaire en Communication Digitale ,2 mois,06/03/2023
"Bac+5, Fac. des Scienc…",  Oujda,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,3 mois,01/01/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,4 mois,01/01/2023
"Bac+5, Emsi Casablanca",  Mohammédia,Stagiaire en Génie Civil ,6 mois,13/02/2023
"Bac+3, FSJES Agadir",  Agadir,Stagiaire en Economie et gestion ,3 mois,29/12/2022
"Bac+3, FLSH Rabat",  Rabat,Stagiaire en Marketing &amp; Communication ,3 mois,01/02/2023
"Bac+5, Univ. Abdelmale…",  Témara,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Ingénierie en Finance et Actuariat ,6 mois,02/01/2023
"Bac+2, ISTA ",  Meknès,Stagiaire en Génie Électrique ,1 mois,01/01/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, FST Guéliz",  Tanalt,Stagiaire en Génie Électrique ,4 mois,28/12/2022
"Bac+1, SUPEMIR",  Casablanca,Stagiaire en Gestion des achats ,1 mois,01/02/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Economie et gestion ,3 mois,28/12/2022
"Bac+4, Univ. Mohammed …",  Rabat,Stagiaire en Supply Chain ,3 mois,07/01/2024
"Bac+5, ENSET Mohammedi…",  Midar,Stagiaire en Contrôle de gestion ,6 mois,01/01/2023
"Bac+5, FSJES Ain Sebaa",  Rabat,Stagiaire en Comptabilité Audit et Finance ,3 mois,15/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Analyse Financière ,4 mois,16/01/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Commerce International ,1 mois,16/01/2023
"Bac+2, Autre",  Tignieu,"Stagiaire en Médecine, Pharmacie &amp; Sciences de la Santé ",2 mois,30/05/2023
"Bac+1, ISBTP ",  Settat,Stagiaire en Génie Civil ,1 mois,01/03/2023
"Bac+5, ENCG Oujda",  Berkane,Stagiaire en Contrôle de gestion ,5 mois,15/01/2023
"Bac+3, EST Oujda",  Errachidia,Stagiaire en Génie Électrique ,4 mois,28/12/2022
"Bac+3, Autre",  Taroudant,"Stagiaire en Physique, Chimie &amp; Biologie ",4 mois,05/01/2023
"Bac+2, ISTA ",  Azrou,"Stagiaire en BTP, Construction &amp; Architecture ",3 mois,01/01/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Développement informatique ,6 mois,01/03/2023
"Bac+3, IAE",  Saint,Stagiaire en Marketing &amp; Communication ,4 mois,20/03/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Génie Informatique ,3 mois,01/01/2023
"Bac+3, FSJES Ain Sebaa",  Casablanca,Stagiaire en Génie Informatique ,3 mois,05/01/2023
"Bac+3, FSJES Salé",  Salé,Stagiaire en Economie et gestion ,6 mois,01/01/2023
"Bac+3, EST Oujda",  Fkih Ben Salah,Stagiaire en Génie Électrique ,4 mois,15/01/2023
"Bac+2, Autre",  Oujda,Stagiaire en Efficacité Energétique ,3 mois,01/04/2023
"Bac+5, Autre",  Ouarzazate,Stagiaire en Génie des Matériaux et Procédés ,3 mois,01/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Marketing &amp; Communication ,6 mois,16/01/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Economie et gestion ,2 mois,01/01/2023
"Bac+3, FSJES Settat",  Rabat,Stagiaire en Sciences Juridiques ,2 mois,15/01/2023
"Bac+3, Autre",  Bordeaux,Stagiaire en Ingénierie des Systèmes d'Information et de Communication ,2 mois,01/06/2023
"Bac+4, Université Ibn …",  Kénitra,Stagiaire en Génie Logiciel ,6 mois,01/01/2023
"Bac+5, Fac. des Lettre…",  Casablanca,Stagiaire en Marketing &amp; Communication ,3 mois,01/02/2023
"Bac+3, Autre",  Imzouren,Stagiaire en Agroalimentaire et Génie Biologique ,3 mois,01/01/2023
"Bac+4, FST Errachidia",  Errachidia,Stagiaire en Sciences &amp; Ingénierie de l'Environnement ,2 mois,01/01/2023
"Bac+2, ISTA ",  Tanger,Stagiaire en Génie des Systèmes Électroniques &amp; Automatiques ,3 mois,02/01/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Informatique &amp; Systèmes d'Information ,6 mois,01/03/2023
"Bac+2, ISTAIE",  Casablanca,Stagiaire en Automobile ,6 mois,01/01/2023
"Bac+5, Autre",  Rabat,Stagiaire en Procédés &amp; Ingénierie Chimique ,,01/01/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Audit ,4 mois,16/01/2023
"Bac+5, ENSIAS",  Nador,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+2, FSJES Mohammedi…",  Mohammédia,Stagiaire en Economie et gestion ,3 mois,01/03/2023
"Bac+2, ISTA ",  Casablanca,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",6 mois,01/01/2023
"Bac+5, Hestim",  Casablanca,"Stagiaire en BTP, Construction &amp; Architecture ",4 mois,01/02/2023
"Bac+5, Emsi Casablanca",  Casablanca,Stagiaire en Génie Informatique ,6 mois,01/03/2023
"Bac+3, ENCG El Jadida",  Marrakech,Stagiaire en Comptabilité Audit et Finance ,1 mois,01/01/2023
"Bac+4, Autre",  Essaouira,Stagiaire en Management ,6 mois,09/01/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Gestion des Ressources Humaines ,6 mois,02/01/2023
"Bac+3, FSJES Mohammedi…",  Mohammédia,Stagiaire en Economie et gestion ,3 mois,03/01/2023
"Bac+5, FS Tétouan",  Tétouan,Stagiaire en Environnement &amp; Énergies Renouvelables ,4 mois,01/02/2023
"Bac+3, IFIAG",  Rabat,Stagiaire en Développement WEB ,2 mois,06/02/2023
"Bac+2, Autre",  Marrakech,Stagiaire en Développement WEB ,3 mois,01/01/2023
"Bac, ISTA ",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,4 mois,01/01/2023
"Bac+5, Autre",  Casablanca,Stagiaire en Communication Digitale ,6 mois,01/01/2023
"Bac+5, Fac. des Lettre…",  Tanger,Stagiaire en Marketing &amp; Communication ,2 mois,15/02/2023
"Bac+5, FST Settat",  Casablanca,Stagiaire en Informatique &amp; Systèmes d'Information ,6 mois,01/02/2023
"Bac+2, Autre",  Marrakech,Stagiaire en Média &amp; Audiovisuel ,3 mois,30/12/2022
"Bac+3, Autre",  Agadir,Stagiaire en Economie et gestion ,5 mois,01/01/2023
"Bac+5, ENCG Tanger",  Tétouan,Stagiaire en Comptabilité Audit et Finance ,6 mois,16/01/2023
"Bac+5, FST Beni Mellal",  Casablanca,Stagiaire en Génie Électrique ,5 mois,01/02/2023
"Bac+3, ENSA Khouribga",  Fkih Ben Salah,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",2 mois,31/01/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,1 mois,16/01/2023
"Bac+5, UIC",  Casablanca,Stagiaire en Psychologie ,1 mois,01/01/2023
"Bac+5, FLSH Oujda",  Figuig,Stagiaire en Sociologie ,2 mois,01/01/2023
"Bac+5, Ensa Tanger",  Ouazzane,Stagiaire en Génie Industriel ,5 mois,01/02/2023
"Bac+5, Emsi Casablanca",  Rabat,Stagiaire en Informatique &amp; Systèmes d'Information ,6 mois,15/02/2023
"Bac+2, EST Meknès",  Sefrou,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",4 mois,01/02/2023
"Bac+5, ENCG Marrakech",  Essaouira,Stagiaire en Audit ,6 mois,01/02/2023
"Bac+5, Hem Rabat",  Rabat,Stagiaire en Comptabilité Audit et Finance ,6 mois,31/03/2023
"Bac+3, Autre",  Casablanca,Stagiaire en Marketing Digital ,3 mois,03/01/2023
"Bac+2, ISTA ",  Mechra Bel Ksiri,Stagiaire en Comptabilité Audit et Finance ,2 mois,02/01/2023
"Bac+3, Univ. Abdelmale…",  Tanger,Stagiaire en Economie et gestion ,6 mois,04/01/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Economie et gestion ,1 mois,01/02/2023
"Bac+5, FSJES Ain Chock",  Fès,Stagiaire en Commerce International ,5 mois,01/02/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,1 mois,16/01/2023
"Bac+2, FST Beni Mellal",  Fès,Stagiaire en Génie Électrique ,2 mois,01/07/2023
"Bac+2, ISTA ",  Tanger,Stagiaire en Développement informatique ,3 mois,01/01/2023
"Bac+4, FSJES Rabat",  Rabat,Stagiaire en Economie et gestion ,3 mois,30/12/2022
"Bac+5, ISGA Rabat",  Casablanca,Stagiaire en Génie Informatique ,6 mois,01/03/2023
"Bac+2, EST Casablanca",  Casablanca,Stagiaire en Informatique &amp; Systèmes d'Information ,2 mois,01/04/2023
"Bac+2, ISMTR ",  Casablanca,Stagiaire en Gestion Logistique &amp; Transport ,2 mois,31/12/2022
"Bac+3, Autre",  Antalya,Stagiaire en Journalisme ,,25/05/2023
"Bac+5, ENSA Fés",  Fès,Stagiaire en Génie Informatique ,6 mois,15/01/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Commerce ,1 mois,16/01/2023
"Bac+3, ENCG Casablanca",  Casablanca,Stagiaire en Achats &amp; approvisionnement ,1 mois,16/01/2023
"Bac+5, UIR",  Rabat,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/02/2023
"Bac+2, ISTA ",  Salé,Stagiaire en Administration Systèmes &amp; Réseaux ,3 mois,01/01/2023
"Bac+5, FSJES Rabat",  Rabat,Stagiaire en Economie et gestion ,3 mois,01/02/2023
"Bac+5, Autre",  Rabat,"Stagiaire en Qualité, Maintenance et Sécurité Industrielle ",6 mois,10/01/2023
"Bac+5, FSJES Fés",  Fès,Stagiaire en Economie et gestion ,2 mois,15/01/2023
"Bac+5, ENSA Safi",  Agadir,Stagiaire en Génie Industriel ,6 mois,01/02/2023
"Bac+2, ISTA ",  Chefchaouen,Stagiaire en Informatique &amp; Systèmes d'Information ,3 mois,01/01/2023
"Bac+3, FSJES Ain Chock",  Casablanca,Stagiaire en Développement WEB ,4 mois,02/01/2023
"Bac+2, FSJES Ain Sebaa",  Casablanca,Stagiaire en Sciences Juridiques ,1 mois,01/07/2023
"Bac+5, FST Settat",  Casablanca,Stagiaire en Génie Informatique ,4 mois,01/02/2023
"Bac+5, UPF",  Fès,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+5, ENCG Tanger",  Meknès,Stagiaire en Comptabilité Audit et Finance ,6 mois,15/01/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+1, Autre",  Safi,Stagiaire en Gestion des achats ,1 mois,01/01/2023
"Bac+5, FST Beni Mellal",  Marrakech,"Stagiaire en Physique, Chimie &amp; Biologie ",2 mois,01/01/2023
"Bac+5, Autre",  Agadir,Stagiaire en Marketing ,3 mois,09/01/2023
"Bac+5, ENCG Kénitra",  Témara,Stagiaire en Supply Chain ,3 mois,02/01/2023
"Bac+5, ENCG Settat",  Casablanca,Stagiaire en Audit ,6 mois,02/01/2023
"Bac+5, SUP MTI",  Ahfir,Stagiaire en Génie Logiciel ,6 mois,01/02/2023
"Bac+2, HEM Casablanca",  Casablanca,Stagiaire en Commerce &amp; Management ,1 mois,30/01/2023
"Bac+5, Autre",  Casablanca,Stagiaire en Gestion Logistique &amp; Transport ,6 mois,01/02/2023
"Bac+5, FSJES Mohammedi…",  Sala Al Jadida,Stagiaire en Transport &amp; logistique ,3 mois,05/01/2023
"Bac+2, ISGI ",  Casablanca,Stagiaire en Développement WEB ,1 mois,01/04/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Management de la Qualité ,6 mois,01/02/2023
"Bac+2, ISTA ",  Casablanca,Stagiaire en Développement informatique ,3 mois,28/12/2022
"Bac+4, Ensa Tanger",  Tanger,Stagiaire en Développement WEB ,1 mois,01/07/2023
"Bac+4, Autre",  Oujda,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+5, ENSA Safi",  Safi,Stagiaire en Génie Informatique ,5 mois,01/02/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Gestion Logistique &amp; Transport ,5 mois,22/02/2023
"Bac+5, ENCG Kénitra",  Fès,Stagiaire en Supply Chain ,4 mois,09/01/2023
"Bac+3, Université Ibn …",  Kénitra,Stagiaire en Marketing ,3 mois,07/01/2023
"Bac+3, Univ. Mohammed …",  Rabat,Stagiaire en Gestion des Entreprises et des Administrations ,4 mois,01/01/2023
"Bac+4, ENCG Casablanca",  Casablanca,Stagiaire en Marketing Digital ,3 mois,01/02/2023
"Bac+3, FST Settat",  Témara,Stagiaire en Génie Civil ,1 mois,02/01/2023
"Bac+5, ENSA Agadir",  Agadir,Stagiaire en Statistique et Informatique Décisionnelle ,6 mois,01/02/2023
"Bac+3, Autre",  Rabat,Stagiaire en Arts &amp; Culture ,3 mois,01/01/2023
"Bac+3, Autre",  Ouarzazate,Stagiaire en Génie Informatique ,4 mois,01/01/2023
"Bac+2, ISTA ",  Marrakech,Stagiaire en Développement WEB ,3 mois,01/01/2023
"Bac+3, FST Errachidia",  Tinghir,Stagiaire en Génie Logiciel ,1 mois,01/01/2023
"Bac+5, FSJES Ain Sebaa",  Casablanca,Stagiaire en Economie et gestion ,6 mois,02/01/2023
"Bac, FSJES Agadir",  Aït Melloul,"Stagiaire en Secrétariat, Accueil &amp; Assistance ",3 mois,01/01/2023
"Bac+1, ISTA ",  Tamesna,Stagiaire en Secrétariat &amp; Assistance ,,29/12/2022
"Bac+5, Un. Sidi Mohamm…",  Agadir N'Iznagane,Stagiaire en Procédés &amp; Ingénierie Chimique ,4 mois,05/01/2023
"Bac+5, ENCG Oujda",  Nador,Stagiaire en Supply Chain ,6 mois,01/01/2023
"Bac+4, UPF",  Oujda,Stagiaire en Energies Renouvelables ,2 mois,15/06/2023
"Bac+3, Fac. des Scienc…",  Meknès,Stagiaire en Génie Informatique ,2 mois,01/01/2023
"Bac+5, FSJES Rabat",  Rabat,Stagiaire en Commerce International ,6 mois,15/01/2023
"Bac+5, ENSA Oujda",  Rabat,Stagiaire en Informatique &amp; Systèmes d'Information ,6 mois,01/02/2023
"Bac+3, ENSEM",  Casablanca,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",2 mois,01/01/2023
"Bac+5, ENCG Marrakech",  Marrakech,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/02/2023
"Bac+3, Fac. des scienc…",  Ouled Berhil,Stagiaire en Génie Logiciel ,6 mois,01/01/2023
"Bac+5, ISCAE",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/01/2023
"Bac+5, FST Fès",  Fès,Stagiaire en Génie Mécatronique ,5 mois,01/02/2023
"Bac+5, FST Settat",  Marrakech,Stagiaire en Ingénierie en Finance et Actuariat ,4 mois,10/01/2023
"Bac+5, FS Ain Chock",  Tanger,Stagiaire en Génie Électrique ,4 mois,10/02/2023
"Bac+5, Univ. Abdelmale…",  Tétouan,Stagiaire en Gestion des Entreprises et des Administrations ,2 mois,01/01/2023
"Bac+2, ISGI ",  Béni Mellal,Stagiaire en Développement informatique ,3 mois,01/01/2023
"Bac+5, ENSA Tétouan",  Casablanca,"Stagiaire en BTP, Construction &amp; Architecture ",6 mois,01/02/2023
"Bac+4, Autre",  Al Hoceïma,Stagiaire en Big Data &amp; Cloud Computing ,6 mois,01/02/2023
"Bac+2, Autre",  Casablanca,Stagiaire en Maintenance Industrielle des Systèmes Électromécaniques ,6 mois,01/01/2023
"Bac+3, Autre",  Salon,Stagiaire en Commerce International ,4 mois,01/03/2023
"Bac+5, ENSA Khouribga",  Khouribga,Stagiaire en Génie Informatique ,6 mois,01/01/2023
"Bac+5, EST Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,02/01/2023
"Bac+3, FSJES Oujda",  Oujda,Stagiaire en Sciences Juridiques ,3 mois,01/01/2023
"Bac+3, Cesa",  Casablanca,Stagiaire en Développement informatique ,2 mois,01/01/2023
"Bac+2, Autre",  Abou Dabi ,Stagiaire en Développement WEB ,1 mois,20/06/2023
"Bac+5, HEM Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,03/04/2023
"Bac+3, FST Errachidia",  Meknès,Stagiaire en Génie Logiciel ,2 mois,01/06/2023
"Bac+5, ENSA Tétouan",  Tétouan,Stagiaire en Génie Informatique ,6 mois,01/01/2023
"Bac+2, Autre",  Casablanca,Stagiaire en Commerce ,2 mois,29/05/2023
"Bac+5, ENCG Kénitra",  Témara,Stagiaire en Marketing ,4 mois,15/02/2023
"Bac, Autre",  Bois,Stagiaire en Informatique &amp; Systèmes d'Information ,1 mois,30/01/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Marketing ,3 mois,01/02/2023
"Bac, Autre",  Casablanca,Stagiaire en Lettres ,1 mois,31/12/2022
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Gestion Comptable ,6 mois,01/01/2023
"Bac+5, ENCG Kénitra",  Rabat,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/01/2023
"Bac+5, Autre",  El Jadida,Stagiaire en Politique &amp; Gouvernance ,,19/01/2023
"Bac+5, Estem",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,6 mois,30/01/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Comptabilité Audit et Finance ,6 mois,01/02/2023
"Bac+4, FST Settat",  Casablanca,Stagiaire en Management ,3 mois,08/01/2023
"Bac+2, ISTA ",  Tanger,Stagiaire en Développement informatique ,2 mois,01/01/2023
"Bac+5, FST Guéliz",  Casablanca,Stagiaire en Génie Électrique ,6 mois,05/02/2023
"Bac+5, FST Mohammedia",  Casablanca,Stagiaire en Génie Informatique ,5 mois,01/02/2023
"Bac+5, ENCG Tanger",  Tanger,Stagiaire en Comptabilité Audit et Finance ,6 mois,02/01/2023
"Bac+5, Autre",  Oujda,Stagiaire en Développement informatique ,6 mois,01/02/2023
"Bac+5, ENSEM",  Casablanca,Stagiaire en Génie Mécanique &amp; Productique ,6 mois,01/02/2023
"Bac+4, UIR",  Rabat,Stagiaire en Marketing Digital ,2 mois,15/05/2023
"Bac+5, ENCG Kénitra",  Kénitra,Stagiaire en Comptabilité Audit et Finance ,6 mois,06/01/2023
"Bac+5, ENCG Casablanca",  Casablanca,Stagiaire en Comptabilité Audit et Finance ,5 mois,01/02/2023
"Bac+2, Autre",  Marrakech,"Stagiaire en Industrie, Eléctrique, Mécanique &amp; Éléctromécanique ",1 mois,01/02/2023
"Bac+5, ENSA Khouribga",  Mohammédia,Stagiaire en Génie Logiciel ,6 mois,01/02/2023
"Bac+5, ENCG Dakhla",  Casablanca,Stagiaire en Supply Chain ,6 mois,20/01/2023
"Bac+5, FST Tanger",  Casablanca,Stagiaire en Génie Civil ,6 mois,01/02/2023
"Bac+5, IGA",  Casablanca,Stagiaire en Analyse Financière ,6 mois,20/02/2023
"Bac+5, Autre",  Meknès,Stagiaire en Comptabilité Audit et Finance ,3 mois,15/02/2023
"Bac+3, ESITH",  Casablanca,Stagiaire en Transport &amp; logistique ,4 mois,31/12/2022
"Bac+3, FSJES Rabat",  Casablanca,Stagiaire en Supply Chain ,3 mois,01/02/2023
"Bac+5, ENCG Fès",  Fès,Stagiaire en Marketing ,5 mois,23/01/2023
"Bac+5, Fac. des Scienc…",  Biougra,Stagiaire en Génie Informatique ,6 mois,01/02/2023
"Bac+5, Heec",  Marrakech,Stagiaire en Ingénierie en Finance et Actuariat ,2 mois,01/03/2023
"Bac+5, FSJES Mohammedi…",  Casablanca,Stagiaire en Sciences Juridiques ,3 mois,01/01/2023
"Bac+3, FSJES Ain Sebaa",  Casablanca,Stagiaire en Développement informatique ,4 mois,01/02/2023
"Bac+2, ISTA ",  Settat,Stagiaire en Développement informatique ,3 mois,01/01/2023
"Bac+4, Emsi Casablanca",  Casablanca,Stagiaire en Génie Industriel ,3 mois,01/07/2023
"Bac+3, EMAA",  Marrakech,Stagiaire en Transport &amp; logistique ,1 mois,01/01/2023
